Identifier,Title,NLI 1,NLI 2,Name of Author,Sex of Author,Year of Publication,Publisher,Number of Pages,Sub-Genre,Division within the Novel,Typical Chapter Length,Excerpts of Other Genres,Division to Paragraphs on a Typical Page,Type of Narrator,Role of Narrator in the Plot,"Narrator's Gender, Age, Religion",Characters in the Novel,Communication in the Novel,Number of Plot-lines,Novel's Exposition,Key Events,Fillers,Other Languages Used,The Bodies of Texts to which the Novel Reffers,Readability,Chronological Scope of the Novel,Main Epoch(s),Main Space(s),Main Geographical Location(s),Names of Places in the Novel,"Centrality of Israel (State, Land)",Themes,Centrality of Love,Type of Love,Intergenerational Relationships,Centrality of war,Which War,Death,Grammatical Tense
KR.Books.0012,אבן תחת אבן,990017720930205171,"גור, בתיה ",בתיה גור,נקבה,1998,כתר,222,אינני יודע.ת,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,קשה להגדיר,אינני מכיר.ה את המושג,,,שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, דיאלוגים מדומיינים, מכתבים ומברקים, טלפון",קשה להכריע,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,חודשיים עד אחד-עשר חודשים,המחצית השניה של המאה ה-20,"מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), מושב","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, גיל העמידה, משפחה, שיגעון, יחסים בין-דוריים, מצוקה נפשית, פשע (רצח, שוד, וכו'), בתי משפט, בתי כלא, מוסדות חוק ואכיפה, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), פערים מעמדיים, מוסר (אתיקה, שאלות מוסריות)",מרכזית,קשה להגדיר,"אמהות-בנים, סבתות-נכדים",אין מלחמה ברומן,,"תאונה, מבחינת הצבא זו תאונה ומבחינת האם הריגה ברשלנות ויותר.",זמנים דקדוקיים מעורבים
KR.Books.0013,אבני ריחיים,,,דנה אמיר,נקבה,2021,אפיק,59,"רומן אוטוביוגרפי, רומן פסיכולוגי, רומן חברתי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,"אשה, יהודי.ה",שתי דמויות מרכזיות וכמה דמויות משנה,אין תקשורת בין הדמויות ברומן,כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,שנה עד עשור,ללא זמן קונקרטי (הרומן נעדר זמן מובחן),"דירה, בית מגורים","ישראל (ארץ, מדינה)",,שולית,"ילדות, התבגרות, משפחה, פיוס והשלמה",שולית,,אמהות-בנים,אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0014,אגדת ברונו ואדלה,990037326460205171,"גוטפרוינד, אמיר ",אמיר גוטפרוינד,זכר,2014,"דביר, כנרת, זמורה ביתן",,בלש,הרומן מחולק לפרקים,אי אפשר לספור עמודים בפורמט בו קראתי את הרומן,לא,לא רלוונטי,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,"הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו)",1,ימים,המאה ה-21,עיר,"ישראל (ארץ, מדינה)",הרצליה,שולית,"סוף החיים, מוות, משפחה, פשע (רצח, שוד, וכו'), נקמה",שולית,קשה להגדיר,אבות-בנים,אין מלחמה ברומן,,רצח,הווה
KR.Books.0015,אגם הצללים,,,רוני גלבפיש,נקבה,2015,דג זהב,462,פנטזיה,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,בינוניות (אחד-עשר עד עשרים עמודים),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,"ילדה או נערה, יהודי.ה",שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אין חומריים אקספוזיציוניים כלל (ללא רקע והסברים על הדמויות והנושאים שברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"ספרות ישראלית (מ- 1948 ואילך), שירה עברית משנות הקמת המדינה וקודם",1,שבוע עד חודש,המאה ה-21,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), כפר, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה), ים, אגם, נהר, אי","ישראל (ארץ, מדינה)","הכינרת, הירדן, מדבר יהודה",מרכזית,"ילדות, התבגרות, משפחה, יחסים בין-דוריים, טבע וסביבה, השכלה (לימודים), קסם",אין אהבה ברומן,,"אבות-בנות, אמהות-בנות, סבים-נכדות",אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0016,אדם בן כלב,990030223850205171,"קניוק, יורם ",יורם קניוק,זכר,1968,עמיקם,במהדורה החדשה מ-2005 שיצאה בידיעות אחרונות 430 עמודים,"רומן בעל מבנה קרנבלי ויוצא דופן לתקופתו. משלב ריאליזם עם ריאליזם מאגי/פנטסטי וכן גרוטסקה ואבסורד, מכתבים, שירים, דקלומים, ניגונים, מוזיקת ג'ז וממחזות זמר, משחקי מילים, סצנות דמויות מחזה וקרקסיות, וידויים, דרמה משפחתית והיסטורית ועוד ועוד",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),"כן, שירים, כן, מחזות, פתגמים, ציטוט יעיתונות, פזמונים, שירים ממחזות זמר, תנך ומכל טוב",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),מספר עד הנוכח בעולם הסיפורי אך אינו מעורב בעלילה העיקרית,"למעט בקטעי המכתבים או הווידויים שהם בגוף ראשון, מדובר במספרגם לא מעורב, המרבה גם לנוע בתיאוריו בין תודעות ולהשתמש במבע משולב.",דמות מרכזית אחת ודמויות משנה רבות,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, דיאלוגים מדומיינים, מכתבים ומברקים","מן העלילה המרכזית מסתעפות עלילות רבות, הנעות בין ההווה לעבר ובין דמויות שונות",אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד', ועוד חומרים רבים שחלקם כבר צוינו","אנגלית, גרמנית, יידיש","תנ""ך, מיתולוגיה יוונית, ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו), ספרות ישראלית (מ- 1948 ואילך), טקסטים מאת המחבר.ת עצמו.ה, מוזיקת ג'אז, שירים ממחזות זמר, שירי ילדים, שירי חגים, המלט ועוד",2,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","בית חולים פסיכיאטרי בערד, מחנה ריכוז","ישראל (ארץ, מדינה), מערב אירופה, סקנדינביה וחצי האי האיברי",ברלין; מחנה הריכוז האוכהאוזן (כנראה שם מומצא?); המדבר (אזור ערד); ירושלים,מרכזית,"אהבה, סוף החיים, מוות, שיגעון, יחסים בין-דוריים, בתי חולים, בתי אבות, מוסדות טיפוליים, יהדות, ציונות, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), מוסר (אתיקה, שאלות מוסריות), יחסי יהודים - לא-יהודים, שואה, גאולה (אישית, לאומית, אוניברסלית), משיחיות, ספרות וכתיבה",מרכזית,"קשה להגדיר, שורה של אהבות מורכבות, כשהאהבה עצמה היא אחד הנושאים שהרומן שואל עליהם. בין השאר הוא מתייחס לאהבה טרגית לבת אבודה שמתה; יחסים חולניים למדי בין גיבור הרומן לאחות במוסד שבו הוא מאושפז, אך אלו גם מסייעים בסופו של דבר להחלמתו; רומן שהסתיים בחניקה ואשפוז עם בעלת הפנסיון שלו, שבסוף הרומן מתחדש באופן הרמוני הרבה יותר, וקשר שנרקם בין הגיבור הראשי לילד במוסד, שמתוך שגעונם המשותף מצליחים לרפא זה את זה, והקשר הופך למעין קשר אבהי של לידה מחדש, אך בו בזמן גם מתנתק. כך שכאמור - חמקמק (במכוון) להגדרה","אבות-בנות, הדומיננטיים ביותר הם אבות-בנות, אך אחד הקשרים המרכזיים הוא קשר שהופך לכמו אבהי בין גיבור הרומן לילד, כך שאף שהוא דינמי וקצר הוא יכול כנראה להיכנס תחת האבות-בנים",מרכזית,בעיקר מלחמת העולם השנייה,"המוות על כל גווניו מרכזי מאוד ברומן, וגם אחיזתו של המוות, המשיכה אליו, החרדה ממנו, הניסיון להמתה עצמית, החיים עם המוות ולאחריו והמוות בחיים או החיים כמתים-חיים וכמנהלים יחסים קרובים עם המוות",הווה
KR.Books.0017,אהבה,,,מעין איתן,נקבה,2020,רסלינג,,"סאגה משפחתית, רומן זרם-תודעה, רומן פסיכולוגי, יש מקום לספק אם אכן זהו רומן",קשה להגדיר,קצרות מאוד (עד שני עמודים),יש בו התפלספויות שאני לא זיהיתי מאיפה מקורו,לא רלוונטי,מספרים מתחלפים,,,דמות מרכזית אחת וכמה דמויות משנה,דיאלוגים מדומיינים,קשה להכריע,"אקספוזיציה דחויה (מופיעה לאחר תחילת הרומן, כגוש אחד)",קשה להגדיר,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,קשה לקבוע באופן חד-משמעי,המאה ה-21,"חדר, דירה, בית מגורים, עיר, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה), מרחב אחר - לא ריאליסטי, קשה להגדיר","ישראל (ארץ, מדינה)",חוות בודדים,שולית,"אהבה, ילדות, גיל העמידה, משפחה, שיגעון, מצוקה גופנית, מחלה, מצוקה נפשית, מוסר (אתיקה, שאלות מוסריות), גאולה (אישית, לאומית, אוניברסלית)",מרכזית,"קשה להגדיר, יחסים מיניים ואהבה והקשר בינהם",יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,"התאבדות, המוות אינו מרכזי ברומן",הווה
KR.Books.0018,אהבה יד ראשונה,,,מירה מגן,נקבה,2022,זמורה,222,רומן חברתי,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,מספר דמויות מרכזיות כמספר הדיירים בבנין שבו מתרחשת העלילה. כל דייר מספר בקולו את המתרחש ואת מה שעובר עליו בהקשר זה.,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),"כל אחת מהדמויות מתארת את האינטראקיה עם דיירים אחרים מנקודת מבטה, להבנתי אין ארועי מפתח",אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,חודשיים עד אחד-עשר חודשים,המאה ה-21,בניין מגורים,"ישראל (ארץ, מדינה)",,שולית,"אהבה, ילדות, התבגרות, גיל העמידה, שיגעון, יחסים בין-דוריים, מצוקה נפשית, עוני ועושר, פערים מעמדיים, פיוס והשלמה, ספרות וכתיבה, השכלה (לימודים), זוגיות, קנאה, משפחתיות, הורות",מרכזית,"כמה ספורי אהבה, רובם לא נגמרים בטוב",אמהות-בנים,אין מלחמה ברומן,,המוות אינו מרכזי ברומן,הווה
KR.Books.0019,אהבה שמיים וריח הדרים,990031588510205171,"קדר, מירה ",מירה קדר,נקבה,2011,ידיעות אחרונות,219,"סאגה משפחתית, רומן חברתי",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",אנגלית,"ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו), ספרות עממית, מסורות העוברות על-פה",4,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","דירה, בית מגורים, עיר, התנחלות","ישראל (ארץ, מדינה)","חברון, נוה דניאל, ירושלים",מרכזית,"נישואין, חתונה, הלוויה, שבעה, התבגרות, משפחה, יחסים בין-דוריים, יהדות, ציונות, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), מוסר (אתיקה, שאלות מוסריות), הסכסוך הישראלי-פלסטיני, יחסי ערבים-יהודים, צה""ל, מלחמה",מרכזית,אהבה ללא קונפליקט,אבות-בנים,מרכזית,מלחמות ישראל,מוות במלחמה,עבר
KR.Books.0020,אהבת איתמר בן אבי,,,דבורה עומר,נקבה,2001,עם עובד,203,"רומן חניכה, רומן היסטורי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, מכתבים ומברקים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,שנה עד עשור,"המאה ה-19, המחצית הראשונה של המאה ה-20",עיר,"ישראל (ארץ, מדינה)","ירושלים,",מרכזית,"אהבה, נישואין, חתונה, התבגרות, ציונות, פערים מעמדיים, יחסי מזרחים-אשכנזים, ספרות וכתיבה",מרכזית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0021,אהבת ישרים או המשפחות המורדפות,990019553670205171,,שרה פייגה מיינקין,נקבה,1881,"הוצאת א""ה קצנלבויגן בווילנה",149,"רומן חניכה, רומן היסטורי, רומן חברתי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),מכתבים,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,4,חודשיים עד אחד-עשר חודשים,המאה ה-19,"חדר, דירה, בית מגורים, כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), רחוב, כביש, דרך, שביל, עיר","מערב אירופה, סקנדינביה וחצי האי האיברי, מזרח אירופה ורוסיה","מילאנו, פאריס, רומא, ברודי (גליציה).",לא מופיעה ברומן כלל,"אהבה, נישואין, חתונה, משפחה, יחסים בין-דוריים, פשע (רצח, שוד, וכו'), פערים מעמדיים, מוסר (אתיקה, שאלות מוסריות), יחסי יהודים - לא-יהודים",מרכזית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,"אבות-בנות, אמהות-בנות",שולית,"ההפיכה הצבאית של נפוליון השלישי ב-1851, מלחמת קרים.",המוות אינו מרכזי ברומן,
KR.Books.0022,אהבת ציון,990018136520205171,"מאפו, אברהם ",אברהם מאפו,זכר,1853,דפוס ראם,,"סאגה משפחתית, רומן היסטורי",הרומן מחולק לפרקים,אי אפשר לספור עמודים בפורמט בו קראתי את הרומן,"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"תנ""ך, ספרות עברית מתקופת ההשכלה ו/או התחייה, ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו)",4,שנה עד עשור,"תקופת התנ""ך, העת העתיקה","אוהל, צריף, דירה, בית מגורים, עיר, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה)","ישראל (ארץ, מדינה)","ירושלים, בית לחם, הכרמל",מרכזית,"אהבה, נישואין, חתונה, משפחה, יחסים בין-דוריים, פשע (רצח, שוד, וכו'), יהדות, מוסר (אתיקה, שאלות מוסריות), גאולה (אישית, לאומית, אוניברסלית), פיוס והשלמה, טבע וסביבה",מרכזית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,"אבות-בנים, אבות-בנות, אמהות-בנים, אמהות-בנות, סבים-נכדות, סבים-נכדים",מרכזית,האיום (הלא ממומש) על חורבן ירושלים בימי סנחריב.,המוות אינו מרכזי ברומן,עבר
KR.Books.0023,אהבתה של סלטנאת,,,שרה אהרוני,נקבה,2008,ידיעות אחרונות,302,"רומן אוטוביוגרפי, סאגה משפחתית, רומן היסטורי",הרומן מחולק לחלקים/שערים/כרכים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אין חומריים אקספוזיציוניים כלל (ללא רקע והסברים על הדמויות והנושאים שברומן),בעלילה אירוע-מפתח בולט אחד,אירועים פשוטים של יומיום,שימוש מועט בשפה ערבית-איראנית (עם תרגומם לעברית),,1,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","דירה, בית מגורים, כפר, מעברה",המזרח התיכון והמפרץ הפרסי (לא כולל ישראל שצוינה בנפרד לעיל),"טהרן,טונגרן,ישראל",שולית,"אהבה, נישואין, חתונה, ילדות, התבגרות, משפחה, יחסים בין-דוריים, יהדות, ציונות, הגירה, פיוס והשלמה",מרכזית,"אהבה הגוברת על מכשולים לקראת מימוש מוצלח, אהבה נכזבת","אבות-בנות, אמהות-בנות",אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0024,אונה,,,דורית פלג,נקבה,1988,סימן קריאה,231,"רומן אוטוביוגרפי, רומן חניכה, רומן פסיכולוגי",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),"כן, שירים",,מספרים מתחלפים,,,שתי דמויות מרכזיות וכמה דמויות משנה,,,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",יידיש,"תנ""ך, מיתולוגיה יוונית, ספרות עממית, מסורות העוברות על-פה",5,חודשיים ומעלה,"המאה ה-20 (עד 1948), המאה ה-20 (מ-1948)","אירופה, ארצות הברית",,"אושוויץ, ניו יורק",,"ילדות, יחסים בין-דוריים, שיגעון, יהדות, מלחמה",שולית,,אותה דמות: ילדה-אשה,מרכזית,מלחמת העולם השנייה,התאבדות,
